gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
XIRP2,0,0,0,75,69,66,1217,194,7258,5890,11722,15654,9210,7842,11043,10012
STK39,865,936,93,484,1973,2003,1060,1174,455,379,601,626,1191,886,856,1210
CERS6,783,1768,227,934,2260,1519,874,936,418,331,290,447,581,440,499,604
ABCB11,0,1,0,2,14,1,7,9,17,13,0,3,87,33,31,45
SSRP1,5793,6656,1074,2257,5527,3344,5567,7296,1401,999,1661,2028,4745,3339,2834,3221
DHRS9,0,1,0,10,4,4,155,169,447,268,40,139,848,569,1558,1921
LRP2,934,1381,27,230,474,702,106,47,98,90,8,79,139,187,8,8
P2RX3,63,192,6,107,10,6,57,35,11,10,18,4,30,14,7,24
PRG3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,1
PRG2,0,2,2,5,8,6,0,3,5,0,2,0,2,1,115,3
SLC43A3,485,645,136,254,1138,611,1390,1412,473,367,458,472,1887,1579,1518,1543
SLC43A1,429,454,85,135,507,322,335,457,122,84,109,103,321,245,181,244
TIMM10,218,162,51,78,285,412,384,328,215,170,243,308,561,345,193,257
SMTNL1,0,0,0,2,11,3,539,91,1393,1000,2632,2865,3579,2701,1824,2945
UBE2L6,165,132,23,107,461,471,345.58,351.26,113,114,182,151,347.88,274.59,243.01,370.43
CLP1,480,554,65,195,379,349,358,511,137,114,139,222,350,246,231,299.96
MED19,461.22,562.11,69.34,205.23,525.14,365.33,544.55,618.47,171.71,130.24,164.94,226.85,528.53,317.66,336.05,441.54
TFPI,152,207,64,179,1767,1790,968,1007,342,294,441,432,934,893,400,487
FASTKD1,239,275,41,99,384,336,506,434,231,291.95,290,354,494,362,441,516
ITGAV,831.23,1738.18,443,993.47,2071.01,1437.45,3617.48,2701,1712.15,1476.57,2370,2971.29,2963.51,3051.7,3380.16,3599.23
PHOSPHO2,256,298,50,148,339,246.79,455,448.44,208,193,219,260,511,300,486,606.55
ZC3H15,1766,1993,279,906.7,1902,1476,2023,2522,671,578,778,886.56,2228,1464,1729,2143
MTX2,734,949,169,476,1208,1162,1222,1359,514,627,641,652,1667,1106,627,861
HOXD8,1,0,25,38,55,32,243,164,120,85,155,147,304,215,114,112
ATF2,1436,1969,256,927,1478,898,1414,1788,575,652,605,743,1119,1082,979,1309
CHRNA1,2,11,39,83.32,62,47.28,1723.31,1287.9,553.07,389.99,961,999.38,2902.96,2383.76,317.87,502.38
OLA1,1071,1104,246,518,1474,1046,1939,2307,650,555,1028,1139,2172,1322,1220,1627
SP3,2499,3660,767,1619,3842,2405,3034,3769,1520,1336,1629,2182,2434,2207,2153,2514
ITGA6,1096,1310,253,599.59,6225.87,5637.46,3739.24,2790,1452.04,1386.62,1781,2478,2899.7,2574.21,2877.21,3200.13
KIF18A,912.09,1064,119,349,565,344.12,288.18,486.14,124,109.46,100,144.07,175.64,176.97,90.43,105.74
FSHB,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
ARL14EP,737,977,196,473,888,530,992,1526,387,256,327,373,839,801,577,656
SLC12A6,633.4,1123.96,208,695,1318.91,1012.69,2306.71,2340.12,1136,939.05,1038.58,1060.62,1974.3,2062.23,1883.64,2230.61
EMC4,267,281,54,145,440,369,772.61,997.56,222,202,232,244,1001.24,700.42,818.77,1029.22
KATNBL1,428.56,538.61,104,251,439.67,329.12,1105.66,1162.39,275,243.35,301,337.71,720.12,646,676.51,786.65
